,PRCP,TMAX,TMIN,Stage_m
1990-08-01,14.224,30.0,15.0,
1990-08-02,0.0,25.55555555555556,10.555555555555555,
1990-08-03,0.0,27.77777777777778,11.666666666666666,
1990-08-04,0.0,31.11111111111111,13.88888888888889,
1990-08-05,0.0,31.11111111111111,15.555555555555555,
1990-08-06,2.54,26.11111111111111,18.88888888888889,
1990-08-07,60.706,21.666666666666668,19.444444444444443,
1990-08-08,8.128,22.77777777777778,15.555555555555555,
1990-08-09,0.0,26.11111111111111,15.555555555555555,
1990-08-10,0.0,27.22222222222222,16.666666666666668,
1990-08-11,65.024,23.33333333333333,17.77777777777778,
1990-08-12,19.558,25.0,17.77777777777778,
1990-08-13,0.0,27.22222222222222,15.555555555555555,
1990-08-14,10.922,28.33333333333333,14.444444444444445,
1990-08-15,0.0,25.0,12.22222222222222,
1990-08-16,0.0,25.0,11.11111111111111,
1990-08-17,0.0,28.33333333333333,12.22222222222222,
1990-08-18,0.0,28.33333333333333,16.666666666666668,
1990-08-19,0.0,30.0,18.88888888888889,
1990-08-20,2.032,22.22222222222222,10.555555555555555,
1990-08-21,0.254,20.55555555555556,12.22222222222222,
1990-08-22,0.0,18.88888888888889,13.333333333333334,
1990-08-23,0.0,23.88888888888889,14.444444444444445,
1990-08-24,39.624,18.33333333333333,15.0,
1990-08-25,13.462,21.11111111111111,17.77777777777778,
1990-08-26,0.0,24.444444444444443,17.22222222222222,
1990-08-27,0.508,27.22222222222222,15.555555555555555,
1990-08-28,0.0,28.88888888888889,17.22222222222222,
1990-08-29,4.571999999999999,28.33333333333333,16.666666666666668,
1990-08-30,0.0,27.77777777777778,12.22222222222222,
1990-08-31,0.0,25.55555555555556,10.0,
1990-09-01,0.0,26.11111111111111,10.0,
1990-09-02,0.0,27.22222222222222,10.0,
1990-09-03,0.508,28.33333333333333,14.444444444444445,
1990-09-04,0.0,23.33333333333333,7.777777777777778,
1990-09-05,0.0,22.77777777777778,7.777777777777778,
1990-09-06,0.0,26.11111111111111,13.88888888888889,
1990-09-07,0.0,26.11111111111111,15.555555555555555,
1990-09-08,0.0,26.666666666666668,7.222222222222222,
1990-09-09,0.0,19.444444444444443,2.2222222222222223,
1990-09-10,3.302,19.444444444444443,2.7777777777777777,
1990-09-11,0.0,25.55555555555556,12.22222222222222,
1990-09-12,0.0,27.22222222222222,12.22222222222222,
1990-09-13,0.0,25.55555555555556,15.555555555555555,
1990-09-14,0.0,27.22222222222222,16.11111111111111,
1990-09-15,10.922,24.444444444444443,17.22222222222222,
1990-09-16,2.032,22.77777777777778,7.222222222222222,
1990-09-17,3.556,16.666666666666668,6.666666666666667,
1990-09-18,0.0,13.333333333333334,-0.5555555555555556,
1990-09-19,0.0,15.555555555555555,-0.5555555555555556,
1990-09-20,4.826,15.0,0.0,
1990-09-21,0.0,19.444444444444443,3.888888888888889,
1990-09-22,1.016,19.444444444444443,3.333333333333333,
1990-09-23,2.286,14.444444444444445,5.555555555555555,
1990-09-24,0.0,19.444444444444443,5.0,
1990-09-25,0.0,14.444444444444445,2.2222222222222223,
1990-09-26,0.0,20.55555555555556,2.2222222222222223,
1990-09-27,0.0,21.11111111111111,7.777777777777778,
1990-09-28,0.0,23.33333333333333,7.222222222222222,
1990-09-29,0.0,23.88888888888889,6.666666666666667,
1990-09-30,0.0,24.444444444444443,12.77777777777778,
1990-10-01,6.858,21.666666666666668,7.222222222222222,
1990-10-02,0.0,16.666666666666668,3.888888888888889,
1990-10-03,0.254,16.666666666666668,3.333333333333333,
1990-10-04,0.0,18.88888888888889,3.888888888888889,
1990-10-05,6.35,21.11111111111111,8.333333333333334,
1990-10-06,0.0,20.0,8.333333333333334,
1990-10-07,0.0,26.666666666666668,14.444444444444445,
1990-10-08,0.0,27.77777777777778,14.444444444444445,
1990-10-09,9.398,26.666666666666668,18.33333333333333,
1990-10-10,1.016,22.77777777777778,16.11111111111111,
1990-10-11,2.54,24.444444444444443,11.666666666666666,
1990-10-12,0.254,20.0,11.666666666666666,
1990-10-13,7.112,22.22222222222222,16.666666666666668,
1990-10-14,51.308,21.666666666666668,17.22222222222222,
1990-10-15,0.0,22.22222222222222,9.444444444444445,
1990-10-16,0.0,22.22222222222222,3.333333333333333,
1990-10-17,0.0,16.666666666666668,0.0,
1990-10-18,0.0,20.0,0.5555555555555556,
1990-10-19,25.146,22.22222222222222,6.666666666666667,
1990-10-20,0.0,10.0,1.6666666666666667,
1990-10-21,0.0,15.0,-2.2222222222222223,
1990-10-22,0.0,17.22222222222222,-2.2222222222222223,
1990-10-23,4.571999999999999,17.77777777777778,10.0,
1990-10-24,102.87,17.77777777777778,12.22222222222222,
1990-10-25,0.0,13.333333333333334,1.6666666666666667,
1990-10-26,0.0,13.333333333333334,1.1111111111111112,
1990-10-27,0.0,9.444444444444445,-1.6666666666666667,
1990-10-28,0.0,7.777777777777778,-3.333333333333333,
1990-10-29,1.778,10.0,-2.2222222222222223,
1990-10-30,0.0,6.111111111111111,-2.2222222222222223,
1990-10-31,0.0,13.88888888888889,-1.1111111111111112,
1990-12-01,0.0,3.333333333333333,-6.111111111111111,
1990-12-02,0.0,9.444444444444445,-3.888888888888889,
1990-12-03,0.0,11.666666666666666,-3.333333333333333,
